Reference,Age (Ma),Age old,Age young,CO2 (ppm),type,CO2 low,CO2 high,CO2 range,Distribution,Proxy type
"Badger et al., 2013b",3.09,,,254,mean,237,271,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.10,,,275,mean,255,296,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.11,,,271,mean,253,290,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.13,,,272,mean,254,290,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.16,,,278,mean,258,298,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.18,,,259,mean,239,280,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.19,,,274,mean,255,294,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.20,,,272,mean,254,290,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.21,,,267,mean,245,290,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.22,,,265,mean,246,285,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.24,,,273,mean,253,293,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.26,,,270,mean,251,290,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.27,,,262,mean,244,280,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.28,,,258,mean,241,275,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Badger et al., 2013b",3.29,,,276,mean,257,295,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, as determined through a Monte-Carlo style error propagation of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",very close to gaussian (mean = mode),alkenones
"Naafs et al., 2016",120.3,120.4,120.2,972,mean,699,1388,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",120.3,120.4,120.2,975,mean,799,1221,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",120.1,120.2,120.1,896,mean,692,1194,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",120.1,120.2,120.1,915,mean,753,1141,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",120.1,120.2,120.1,1437,mean,934,2289,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",120.1,120.2,120.1,1596,mean,1050,2517,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.9,120.1,119.8,1255,mean,952,1716,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.9,120.1,119.8,1942,mean,1409,2829,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.9,120.1,119.8,2187,mean,1426,3596,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.9,120.1,119.8,1845,mean,1011,3440,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.6,119.8,119.3,2058,mean,1358,3326,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.6,119.8,119.3,2005,mean,1381,3099,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.6,119.8,119.3,2005,mean,1321,3231,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.6,119.8,119.3,1746,mean,1233,2600,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.6,119.8,119.3,1634,mean,1009,2731,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.1,119.3,119.0,1379,mean,1041,1900,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",118.9,119.0,118.8,1904,mean,1184,3211,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",118.9,119.0,118.8,762,mean,588,1014,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",120.1,120.2,120.1,1117,mean,779,1594,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",120.1,120.2,120.1,1099,mean,822,1520,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.9,120.1,119.8,1322,mean,856,2104,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.9,120.1,119.8,1894,mean,1154,3278,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"Naafs et al., 2016",119.1,119.3,119.0,1227,mean,900,1735,"uncertainties correspond to the likely ranges in b (150-200) and d13CDIC along with the 1s spread in the various d13C biomarkers; in the absence of further knowledge, uncertainties are intepreted here to represent +/- one standard error",right skewed (mode < mean),alkenones
"van der Burgh et al., 1993 (updated by KŸrschner et al., 1996)",2.1,2.4,1.8,358,mean,250,590,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"van der Burgh et al., 1993 (updated by KŸrschner et al., 1996)",5.1,,,358,mean,250,590,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"van der Burgh et al., 1993 (updated by KŸrschner et al., 1996)",7.2,,,270,mean,189,446,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"van der Burgh et al., 1993 (updated by KŸrschner et al., 1996)",8.5,,,350,mean,245,578,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"van der Burgh et al., 1993 (updated by KŸrschner et al., 1996)",10.5,,,370,mean,259,611,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"KŸrschner et al., 1996",2.8,3.0,2.6,276,mean,193,455,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"KŸrschner et al., 1996",3.4,,,330,median,315,349,16 and 84 percentiles; uncertainty determined by Monte Carlo approach of Beerling et al. (2009),right skewed (mode < mean); reported distribution is gaussian,stomata
"KŸrschner et al., 1996",4.0,,,363,mean,254,598,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"KŸrschner et al., 1996",4.6,,,270,mean,189,446,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling et al., 1998",168.8,174.1,163.5,879,mean,586,1172,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"Beerling et al., 1998",200.3,201.3,199.3,864,mean,576,1152,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"Beerling et al., 1998",205.4,209.5,201.3,758,mean,505,1010,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"Beerling et al., 1998",205.4,209.5,201.3,835,mean,556,1113,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"McElwain, 1998",44.5,47.8,41.2,768,mean,512,1024,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"McElwain, 1998",168.8,174.1,163.5,639,mean,426,852,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"McElwain, 1998",285.6,298.9,272.3,354,mean,236,472,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"McElwain, 1998",316.6,318.0,315.2,261,mean,174,348,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"McElwain, 1998",400.5,407.6,393.3,2282,mean,1521,3042,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"McElwain et al., 1999",200.7,201.3,200.0,716,mean,477,954,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"McElwain et al., 1999",201.3,201.8,200.8,1535,mean,1023,2046,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"McElwain et al., 1999",201.6,201.8,201.3,702,mean,468,936,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"Chen et al., 2001",135.1,139.4,130.8,1448,mean,965,1931,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"Chen et al., 2001",172.2,174.1,170.3,1894,mean,1263,2525,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"Chen et al., 2001",187.7,201.3,174.1,735,mean,490,980,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"KŸrschner et al., 2001",44.5,47.8,41.2,965,mean,643,1286,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",15.2,16.7,13.7,339,median,318,559,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",15.3,16.8,13.8,341,median,319,559,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",15.3,16.8,13.8,313,median,308,480,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",16.5,18.0,15.0,535,median,402,704,16 and 84 percentiles; uncertainty determined by Monte Carlo approach of Beerling et al. (2009),right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",54.2,54.3,54.1,443,median,359,623,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",54.3,54.4,54.2,327,median,318,416,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",54.7,54.8,54.6,378,median,343,579,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",55.6,55.7,55.5,479,median,380,639,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",55.9,58.9,52.9,667,median,475,748,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.1,56.2,56.0,307,median,298,321,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.1,56.2,56.0,307,median,298,321,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.1,56.2,56.0,307,median,298,321,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.1,56.2,56.0,520,median,400,673,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.2,56.3,56.1,304,median,297,311,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.4,56.5,56.3,313,median,304,320,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.5,56.6,56.4,316,median,305,325,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.6,56.7,56.5,320,median,309,335,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.7,56.9,56.5,315,median,306,323,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.7,56.9,56.5,318,median,307,328,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
